Method,Patient_ID,Latency_ms,Input_Tokens,Output_Tokens,Total_Tokens
direct_llm,Case10,91852,4537,4875,9412
direct_llm,Case1,91007,1142,4971,6113
direct_llm,Case2,108785,1192,5139,6331
direct_llm,Case3,113827,2181,5425,7606
direct_llm,Case4,92574,2569,5005,7574
direct_llm,Case6,99157,1434,5011,6445
direct_llm,Case7,78179,1457,4484,5941
direct_llm,Case8,92845,2597,5323,7920
direct_llm,Case9,92532,2459,5203,7662
rag,Case10,102840,5521,5513,11034
rag,Case1,97154,1662,5162,6824
rag,Case2,110485,2044,5945,7989
rag,Case3,111363,3257,5922,9179
rag,Case4,105809,3570,5570,9140
rag,Case6,103035,2558,5807,8365
rag,Case7,116288,2309,6630,8939
rag,Case8,109013,3586,6355,9941
rag,Case9,110477,3470,6129,9599
websearch,Case10,113213,45855,4926,50781
websearch,Case1,112625,33529,4374,37903
websearch,Case2,128032,34013,4845,38858
websearch,Case3,149024,36702,5868,42570
websearch,Case4,121697,38777,5026,43803
websearch,Case6,123804,35857,4999,40856
websearch,Case7,138267,35155,5281,40436
websearch,Case8,122458,41029,5636,46665
websearch,Case9,134067,37938,6134,44072
bm_agent,605525,312671,617214,9084,626298
bm_agent,612908,474566,295395,7961,303356
bm_agent,638114,190395,1093731,9137,1102868
bm_agent,640880,125190,569756,1458,571214
bm_agent,648772,222257,520159,6343,526502
bm_agent,665548,378954,364892,3092,367984
bm_agent,708387,276191,669332,9614,678946
bm_agent,747724,127921,474304,5977,480281
bm_agent,868183,265603,572237,3380,575617
